Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Computer Science,7,Female,17,MCA,8.4,44,59,0.7,38,6.5,59.3,50.4,On Track
Electronics,8,Female,20,B.Tech,7.3,52,53,1.7,49,3.6,65.4,45.0,At Risk
Information Technology,4,Male,17,MBA,7.8,27,55,4.3,46,6.1,71.4,45.0,On Track
Business Analytics,5,Non-binary,23,B.Sc,8.6,30,96,4.0,91,8.9,94.5,84.4,On Track
Mechanical,3,Male,21,MCA,7.3,20,56,0.9,75,6.8,78.1,49.5,At Risk
Business Analytics,3,Non-binary,22,MCA,8.0,25,60,1.8,55,3.9,60.5,55.5,At Risk
Information Technology,2,Female,23,MCA,8.1,16,94,2.4,86,6.1,92.2,79.8,On Track
Business Analytics,4,Female,22,B.Sc,5.9,38,73,2.4,68,5.1,78.2,62.4,At Risk
Civil,2,Male,25,MBA,6.0,16,70,5.3,46,6.8,63.3,67.2,At Risk
Information Technology,6,Male,18,MBA,6.8,38,61,5.0,72,5.4,87.9,54.0,On Track
Information Technology,2,Male,21,BCA,5.7,17,98,4.9,64,4.0,84.7,92.3,On Track
Business Analytics,3,Male,22,BCA,7.7,29,73,6.2,75,8.5,87.7,69.6,On Track
Information Technology,1,Male,18,MCA,9.7,25,79,4.7,58,5.5,84.3,65.7,On Track
Civil,2,Non-binary,17,MCA,5.6,27,66,6.4,66,4.5,81.2,55.2,At Risk
Mechanical,6,Non-binary,17,B.Sc,5.8,36,93,2.6,73,8.9,84.6,86.4,On Track
Information Technology,7,Female,20,B.Sc,8.9,47,88,2.7,66,6.6,78.1,76.3,On Track
Electronics,1,Male,25,BCA,6.1,26,78,4.2,61,8.3,74.8,76.2,On Track
Information Technology,7,Non-binary,25,MBA,8.0,40,90,3.3,44,3.6,70.2,86.6,On Track
Civil,1,Non-binary,24,B.Sc,7.2,15,80,6.0,49,3.6,79.5,76.5,At Risk
Information Technology,1,Male,18,BCA,7.5,19,80,0.6,61,9.7,72.2,73.6,On Track
Mechanical,5,Female,24,MBA,6.0,36,86,4.2,80,7.6,83.8,76.4,On Track
Mechanical,1,Non-binary,22,BCA,8.9,20,65,5.2,81,4.1,96.6,53.6,On Track
Mechanical,6,Non-binary,20,B.Tech,5.8,32,51,3.6,62,5.4,71.6,51.3,At Risk
Business Analytics,3,Non-binary,17,MBA,8.7,26,82,5.4,38,8.6,69.1,69.3,On Track
Mechanical,8,Female,19,B.Tech,5.8,42,89,5.8,93,9.8,89.3,78.8,On Track
Business Analytics,8,Non-binary,23,B.Tech,6.2,54,51,4.9,67,7.7,80.0,45.0,On Track
Mechanical,1,Male,17,B.Sc,5.2,21,94,0.7,56,7.4,58.3,89.6,On Track
Mechanical,8,Non-binary,17,MBA,7.9,56,64,2.0,50,6.3,58.0,57.7,On Track
Electronics,4,Female,17,MCA,7.3,40,52,1.5,70,9.9,69.9,45.0,On Track
Electronics,3,Male,24,B.Sc,7.3,31,97,1.9,90,9.1,96.1,85.5,On Track
Business Analytics,8,Non-binary,19,MBA,8.0,56,96,0.9,87,7.8,96.1,87.7,On Track
Business Analytics,7,Male,18,MCA,5.1,48,54,5.3,53,6.9,59.1,49.8,At Risk
Computer Science,5,Male,20,MBA,4.9,39,66,1.0,39,7.0,51.9,57.7,At Risk
Computer Science,2,Female,24,BCA,6.7,16,67,6.3,55,9.5,77.6,55.8,On Track
Computer Science,7,Female,18,MCA,5.0,48,98,4.5,70,8.5,84.7,83.7,On Track
Electronics,1,Male,19,B.Sc,7.8,17,64,4.2,75,4.9,86.3,52.8,On Track
Electronics,8,Non-binary,18,B.Sc,5.0,51,93,2.9,78,6.7,83.6,82.0,On Track
Civil,1,Non-binary,24,BCA,8.3,22,69,5.2,47,5.8,66.8,60.1,On Track
Electronics,1,Non-binary,22,MBA,7.7,12,80,0.6,40,7.4,58.0,66.4,On Track
Civil,4,Male,20,MCA,6.4,25,97,2.3,73,5.7,81.8,82.1,On Track
Business Analytics,2,Non-binary,17,MBA,9.4,27,91,1.6,56,5.6,83.1,84.6,On Track
Electronics,4,Non-binary,20,MBA,9.5,34,98,2.7,50,5.8,85.3,91.1,On Track
Information Technology,2,Male,17,MCA,6.5,17,52,5.4,53,6.8,71.0,50.1,At Risk
Civil,5,Male,23,B.Sc,7.9,34,52,4.8,64,5.5,71.8,50.0,On Track
Computer Science,3,Female,20,MBA,9.6,30,90,5.9,92,4.9,98.0,84.8,On Track
Business Analytics,1,Male,23,MBA,7.6,25,65,0.9,49,9.9,58.2,59.7,On Track
Computer Science,2,Male,22,MBA,5.7,32,88,1.8,71,7.3,79.7,78.8,On Track
Information Technology,1,Female,20,MBA,8.6,14,79,3.0,75,6.2,92.2,70.6,On Track
Computer Science,8,Male,24,B.Sc,6.8,54,57,4.1,65,7.1,79.5,46.9,On Track
Information Technology,1,Female,24,B.Tech,8.7,20,55,1.9,87,6.8,90.9,53.2,On Track
Information Technology,5,Non-binary,23,B.Tech,7.5,41,95,4.3,90,8.5,98.0,81.4,On Track
Mechanical,6,Non-binary,17,MBA,5.0,44,97,4.6,61,5.4,77.7,86.3,At Risk
Civil,3,Female,23,BCA,6.3,33,78,1.8,95,4.2,89.8,65.5,On Track
Mechanical,3,Non-binary,24,B.Sc,7.7,25,71,1.6,52,4.7,70.2,65.6,At Risk
Mechanical,5,Non-binary,23,B.Sc,5.3,36,61,1.5,94,6.6,73.8,57.3,At Risk
Business Analytics,5,Non-binary,23,BCA,8.2,43,59,2.1,88,3.9,88.7,49.5,On Track
Business Analytics,3,Non-binary,24,MCA,8.3,22,68,5.8,80,9.8,95.8,55.7,On Track
Computer Science,4,Non-binary,20,MBA,6.6,32,64,1.7,77,7.0,80.4,61.8,On Track
Information Technology,3,Female,23,MCA,9.5,24,66,6.2,50,4.1,78.6,56.8,On Track
Business Analytics,3,Non-binary,19,B.Sc,7.9,24,97,4.1,89,3.9,94.8,86.8,On Track
Business Analytics,1,Male,17,B.Sc,9.5,25,80,5.2,52,8.9,80.4,75.4,On Track
Civil,1,Non-binary,22,MBA,9.5,23,53,2.7,91,4.5,91.6,45.0,On Track
Mechanical,1,Female,17,MBA,6.5,24,80,2.2,43,6.8,54.4,77.3,On Track
Business Analytics,7,Male,22,MBA,6.0,45,70,2.4,69,4.4,76.7,61.8,At Risk
Information Technology,2,Male,21,MBA,7.0,29,70,4.3,75,4.0,82.2,62.5,At Risk
Business Analytics,2,Female,23,B.Tech,6.9,25,58,3.7,75,4.5,76.2,56.4,On Track
Civil,3,Male,25,B.Tech,6.9,25,64,4.3,56,3.8,69.3,61.1,At Risk
Electronics,2,Female,20,B.Sc,9.3,24,68,5.7,46,4.9,84.4,61.7,On Track
Information Technology,2,Male,23,MCA,6.7,17,59,6.0,96,6.2,88.8,50.7,On Track
Business Analytics,6,Male,17,MBA,8.1,44,84,6.0,93,3.5,98.0,74.6,On Track
Civil,6,Non-binary,20,MCA,8.8,44,86,4.9,80,7.0,93.1,71.5,On Track
Business Analytics,8,Male,20,B.Sc,8.5,47,62,4.9,93,9.7,98.0,55.5,On Track
Information Technology,4,Non-binary,20,B.Sc,4.9,37,79,1.6,69,5.0,67.6,69.4,At Risk
Computer Science,6,Non-binary,24,MCA,5.0,44,49,6.4,77,5.6,73.5,49.0,On Track
Information Technology,4,Female,19,B.Sc,8.8,38,69,4.4,74,9.0,88.0,62.0,On Track
Electronics,7,Male,21,B.Sc,8.9,42,95,5.9,91,4.8,98.0,80.5,On Track
Computer Science,2,Female,19,MCA,7.7,30,71,5.4,77,8.5,96.9,62.6,On Track
Computer Science,8,Female,20,BCA,8.2,42,49,0.6,96,8.6,85.9,45.7,On Track
Civil,8,Non-binary,21,B.Sc,7.3,52,88,1.3,75,4.8,85.2,81.6,On Track
Business Analytics,2,Male,17,MBA,4.8,18,95,5.4,59,3.7,69.2,91.4,At Risk
Electronics,7,Non-binary,25,B.Sc,8.7,52,81,2.9,64,4.2,76.0,73.0,On Track
Computer Science,3,Female,23,MBA,5.3,32,59,3.8,51,9.5,58.1,53.6,On Track
Mechanical,6,Female,18,B.Sc,8.2,35,61,6.3,68,7.0,89.2,54.2,On Track
Electronics,2,Non-binary,19,B.Sc,6.4,19,94,5.6,69,9.1,82.9,88.1,On Track
Mechanical,8,Male,20,MCA,6.5,45,48,4.6,96,9.5,92.1,47.3,On Track
Information Technology,3,Non-binary,17,MCA,7.0,21,70,0.9,41,7.9,55.7,61.4,At Risk
Business Analytics,4,Female,23,B.Sc,5.0,34,61,2.1,54,4.4,53.5,51.9,At Risk
Computer Science,1,Female,23,BCA,8.2,25,93,5.4,92,5.4,98.0,86.4,On Track
Computer Science,4,Female,24,B.Sc,6.5,32,92,3.3,74,5.1,88.5,84.0,On Track
Mechanical,1,Female,23,MCA,9.5,22,90,5.7,44,4.2,77.5,76.7,On Track
Business Analytics,7,Non-binary,25,MBA,5.3,51,64,1.9,48,5.7,48.7,54.0,At Risk
Computer Science,4,Male,18,MCA,8.1,32,50,1.1,47,9.2,63.4,45.0,On Track
Civil,6,Non-binary,17,B.Tech,6.8,41,57,3.3,75,6.0,78.5,53.0,On Track
Electronics,2,Non-binary,21,B.Tech,9.0,20,74,4.8,95,3.6,98.0,63.8,On Track
Business Analytics,6,Non-binary,25,MCA,8.7,38,89,2.5,93,9.4,97.0,78.9,On Track
Electronics,6,Non-binary,23,MBA,5.6,34,54,6.1,56,3.9,76.9,48.0,On Track
Mechanical,1,Female,18,B.Sc,5.7,22,53,5.2,56,6.2,61.2,46.7,At Risk
Mechanical,3,Female,25,MBA,8.6,30,80,2.2,70,9.2,79.5,71.9,On Track
Information Technology,3,Female,23,BCA,4.9,30,81,1.0,39,8.2,52.9,69.2,At Risk
Mechanical,2,Female,24,MBA,9.3,22,58,1.8,63,7.5,69.4,49.7,On Track
Computer Science,3,Non-binary,24,MBA,5.9,20,93,3.0,87,8.3,83.4,84.2,On Track
Mechanical,2,Non-binary,24,BCA,7.2,31,62,4.6,66,4.2,85.1,57.2,At Risk
Information Technology,7,Female,21,B.Tech,6.4,48,50,3.0,93,8.1,82.9,45.0,On Track
Mechanical,1,Male,21,MBA,7.8,19,58,0.6,59,4.4,66.0,57.1,At Risk
Computer Science,1,Female,21,B.Tech,7.8,18,55,5.9,96,4.0,98.0,54.4,On Track
Mechanical,6,Non-binary,22,MCA,8.0,45,49,2.8,61,4.3,64.3,45.0,On Track
Information Technology,7,Non-binary,22,MCA,7.5,41,92,1.1,62,7.8,80.6,77.1,On Track
Mechanical,8,Female,20,B.Tech,9.5,47,50,4.4,74,6.7,87.7,45.0,On Track
Computer Science,2,Male,19,MCA,5.4,24,97,0.8,38,9.8,61.4,83.9,On Track
Business Analytics,3,Non-binary,17,B.Sc,8.2,20,96,5.7,47,5.6,75.8,90.8,On Track
Electronics,1,Non-binary,18,BCA,7.7,21,98,4.8,49,9.5,75.2,86.4,On Track
Electronics,4,Female,20,B.Tech,6.8,38,63,5.6,41,5.6,60.4,58.8,At Risk
Computer Science,3,Female,19,MCA,8.7,33,48,1.4,46,9.5,60.1,45.0,On Track
Mechanical,7,Male,18,MCA,8.9,47,89,2.1,74,4.4,83.5,86.0,On Track
Civil,6,Non-binary,18,B.Tech,9.0,33,74,6.0,94,5.3,98.0,71.6,On Track
Business Analytics,8,Male,23,MBA,5.2,49,67,1.9,94,4.0,84.9,56.7,On Track
Information Technology,3,Male,25,MCA,9.0,32,69,0.9,63,9.7,80.8,60.4,On Track
Information Technology,2,Male,20,MCA,7.7,16,79,4.1,86,5.2,88.0,67.8,On Track
Business Analytics,4,Male,24,B.Sc,8.0,26,74,5.8,89,6.2,96.9,67.6,On Track
Mechanical,8,Male,24,B.Tech,5.7,54,48,0.9,68,3.8,63.7,45.0,At Risk
Civil,3,Non-binary,19,B.Sc,5.5,23,50,4.7,87,7.5,82.6,45.8,On Track
Civil,2,Female,21,MCA,5.4,22,52,3.2,79,8.0,73.5,52.7,On Track
Computer Science,5,Non-binary,17,B.Sc,9.2,31,64,0.9,86,4.1,84.1,52.6,At Risk
Information Technology,5,Non-binary,25,B.Tech,7.7,36,62,2.4,71,9.7,84.2,60.2,On Track
Business Analytics,5,Non-binary,25,MBA,7.8,36,89,2.4,51,7.2,70.9,79.1,On Track
Information Technology,4,Male,23,BCA,6.0,33,91,2.4,65,3.9,73.1,82.9,At Risk
Information Technology,5,Non-binary,22,MCA,9.2,43,97,4.9,75,9.3,95.4,93.2,On Track
Civil,8,Female,22,B.Sc,9.0,45,83,5.8,61,9.3,90.0,71.3,On Track
Mechanical,2,Non-binary,19,BCA,7.5,29,71,5.0,56,5.8,72.0,66.9,On Track
Computer Science,8,Male,22,MBA,5.2,54,98,4.5,67,3.9,71.7,90.0,At Risk
Business Analytics,4,Male,25,MBA,8.1,35,53,3.8,81,7.9,80.0,45.0,On Track
Computer Science,8,Male,20,B.Sc,9.5,52,62,4.5,66,8.7,89.6,58.6,On Track
Business Analytics,3,Non-binary,18,B.Tech,5.2,34,72,4.1,95,3.9,93.0,64.6,On Track
Business Analytics,5,Non-binary,23,MCA,8.9,38,82,5.0,38,8.6,66.6,79.2,On Track
Information Technology,5,Non-binary,22,MBA,8.9,41,92,6.4,62,7.9,85.1,78.8,On Track
Business Analytics,7,Non-binary,21,B.Sc,4.9,47,76,3.3,96,9.9,79.9,66.4,On Track
Civil,4,Female,19,MCA,8.3,37,97,4.7,56,4.8,82.3,89.1,On Track
Business Analytics,1,Male,19,B.Sc,8.5,26,57,1.1,74,7.9,73.2,53.0,On Track
Information Technology,5,Male,21,MBA,5.1,40,52,4.8,79,5.2,74.3,48.9,On Track
Mechanical,8,Non-binary,22,BCA,5.2,41,82,1.6,65,7.7,75.5,75.1,On Track
Information Technology,1,Non-binary,22,B.Sc,5.2,14,85,2.1,79,7.3,69.5,70.7,On Track
Computer Science,7,Male,20,B.Sc,6.6,49,92,0.6,69,8.9,79.6,81.9,On Track
Business Analytics,1,Male,18,B.Sc,6.2,19,78,2.0,58,7.6,72.0,71.0,On Track
Business Analytics,1,Male,20,B.Tech,5.2,21,64,6.1,73,9.9,74.6,54.9,On Track
Information Technology,6,Non-binary,22,B.Sc,7.7,34,91,3.9,44,4.0,72.8,87.8,At Risk
Electronics,5,Male,17,B.Sc,6.5,34,83,1.0,69,7.2,67.4,72.9,At Risk
Civil,8,Female,21,B.Tech,6.9,48,94,6.3,62,8.0,85.6,79.5,On Track
Business Analytics,8,Female,25,MBA,9.0,56,76,5.5,69,3.7,92.0,68.3,On Track
Electronics,5,Non-binary,18,MBA,8.5,44,88,1.3,94,7.4,97.4,79.2,On Track
Electronics,1,Female,22,BCA,8.4,27,74,3.0,40,7.5,58.4,65.3,On Track
Information Technology,2,Non-binary,18,B.Tech,8.7,27,61,2.7,44,5.4,62.6,58.1,At Risk
Electronics,7,Male,22,B.Sc,6.0,44,64,5.7,40,9.1,65.6,55.4,On Track
Business Analytics,5,Male,17,B.Tech,5.7,29,53,4.4,54,4.2,65.3,45.0,At Risk
Electronics,2,Female,22,MCA,5.1,16,52,5.0,76,4.7,71.4,45.4,On Track
Mechanical,6,Male,25,BCA,8.9,45,95,0.9,66,5.7,84.7,84.8,On Track
Business Analytics,8,Female,24,MCA,7.5,48,86,4.7,69,3.6,87.9,72.1,On Track
Computer Science,8,Female,22,B.Tech,5.9,45,82,1.5,82,9.8,81.0,77.5,On Track
Information Technology,3,Male,19,MCA,6.6,29,66,3.6,88,8.1,84.9,56.6,On Track
Information Technology,3,Non-binary,23,MBA,7.4,24,95,1.0,77,9.5,89.0,85.0,On Track
Electronics,5,Non-binary,20,B.Tech,6.7,34,77,5.5,44,6.5,71.1,73.7,On Track
Civil,3,Non-binary,21,B.Sc,5.3,26,76,2.5,67,8.8,74.7,65.8,On Track
Information Technology,7,Male,19,MBA,8.7,49,54,6.1,60,8.9,87.6,50.5,On Track
Electronics,7,Female,18,B.Tech,5.7,52,63,3.3,63,6.9,76.1,54.6,On Track
Business Analytics,1,Non-binary,24,MBA,9.6,20,55,4.7,86,6.2,95.6,51.9,On Track
Civil,3,Non-binary,19,B.Sc,8.1,36,62,6.3,94,7.3,98.0,55.4,On Track
Mechanical,3,Non-binary,19,BCA,7.0,29,50,2.1,96,9.2,86.1,45.0,On Track
Computer Science,2,Non-binary,20,BCA,5.4,22,96,2.9,86,9.8,89.2,83.0,On Track
Electronics,2,Non-binary,21,B.Tech,8.9,22,84,4.8,72,9.1,97.9,72.2,On Track
Information Technology,6,Non-binary,23,B.Tech,5.6,37,93,0.8,68,4.7,75.2,79.2,At Risk
Information Technology,5,Male,20,BCA,5.2,43,71,3.3,93,6.1,82.8,58.9,On Track
Information Technology,2,Male,23,B.Tech,9.5,22,76,1.3,69,10.0,80.9,70.2,On Track
Information Technology,6,Non-binary,22,B.Sc,6.5,36,50,2.7,59,4.4,69.9,45.0,At Risk
Computer Science,8,Non-binary,23,B.Tech,5.5,52,79,6.4,48,7.7,73.1,73.8,On Track
Business Analytics,1,Male,24,B.Sc,8.4,20,61,3.5,62,4.2,76.8,59.9,At Risk
Electronics,2,Non-binary,22,MCA,5.3,23,62,2.7,58,5.3,63.2,50.6,At Risk
Computer Science,3,Male,23,MBA,9.4,31,89,0.8,88,8.8,96.9,74.8,On Track
Electronics,3,Non-binary,19,B.Tech,6.8,36,97,3.0,81,5.8,87.9,83.0,On Track
Electronics,5,Male,22,MCA,5.5,30,54,2.5,57,5.2,60.1,47.9,At Risk
Information Technology,1,Male,20,B.Sc,9.4,26,81,3.3,52,7.4,84.6,72.2,On Track
Electronics,7,Male,22,BCA,7.9,45,71,5.6,68,4.0,91.5,64.5,On Track
Information Technology,2,Female,24,BCA,9.6,29,61,1.9,89,8.7,95.1,51.2,On Track
Information Technology,4,Non-binary,21,B.Sc,9.6,40,78,1.3,56,5.4,80.3,68.0,On Track
Information Technology,7,Non-binary,21,MCA,8.9,38,49,3.8,67,8.2,81.2,45.0,On Track
Computer Science,5,Non-binary,22,MBA,5.9,36,69,3.2,69,5.4,73.9,60.4,At Risk
Business Analytics,8,Male,21,BCA,9.0,42,88,4.7,73,4.7,97.8,75.5,On Track
Information Technology,6,Female,21,MBA,9.5,33,71,4.6,47,7.7,82.9,59.2,On Track
Electronics,1,Female,22,B.Tech,7.4,27,80,4.7,51,8.4,76.7,73.1,On Track
Civil,7,Non-binary,25,B.Sc,6.5,46,98,5.7,82,9.0,96.8,88.4,On Track
Electronics,4,Male,24,B.Tech,7.6,29,54,3.1,38,6.8,60.0,45.0,At Risk
Computer Science,4,Male,20,MCA,8.2,32,53,1.2,60,3.9,71.6,45.0,At Risk
Civil,8,Non-binary,25,MBA,8.9,52,73,3.4,68,9.8,86.9,64.3,On Track
Computer Science,8,Non-binary,22,BCA,8.9,47,74,2.2,85,7.1,86.6,60.8,On Track
Business Analytics,1,Female,23,MBA,6.4,24,73,5.8,59,5.2,75.4,71.6,On Track
Electronics,2,Female,24,MBA,6.4,25,71,4.1,76,4.1,75.2,69.4,On Track
Mechanical,7,Male,18,BCA,8.2,42,80,1.9,77,9.3,84.0,69.9,On Track
Civil,4,Male,19,MBA,9.2,31,64,5.4,45,3.8,78.1,53.6,On Track
Mechanical,3,Male,24,B.Tech,7.9,24,96,4.4,64,6.0,85.7,81.1,On Track
Computer Science,5,Male,23,B.Tech,5.5,36,73,5.2,96,6.0,88.3,65.6,On Track
Computer Science,8,Male,21,MCA,8.8,50,95,1.4,55,9.1,71.7,80.0,On Track
Electronics,8,Female,19,MCA,6.4,51,68,2.5,65,8.6,67.0,66.8,On Track
Business Analytics,4,Male,17,MCA,9.3,39,94,3.2,78,8.9,95.1,85.3,On Track
Electronics,3,Female,25,MBA,8.4,22,53,4.9,46,6.1,71.8,45.2,On Track
Business Analytics,3,Female,25,B.Tech,5.4,21,83,3.5,96,6.4,90.8,71.1,On Track
Mechanical,4,Non-binary,24,MCA,7.2,27,58,2.9,38,4.4,55.5,58.1,At Risk
Information Technology,1,Non-binary,18,B.Tech,6.0,15,96,0.6,82,7.2,78.2,87.5,On Track
Mechanical,3,Non-binary,17,B.Tech,7.2,29,94,5.2,42,4.9,72.8,84.3,On Track
Information Technology,4,Female,23,MBA,6.3,30,51,3.1,40,4.5,49.3,46.4,At Risk
Computer Science,4,Female,19,MBA,7.1,26,76,4.6,58,10.0,79.1,63.2,On Track
Civil,7,Non-binary,18,B.Sc,6.3,37,80,2.9,64,5.0,78.8,70.5,At Risk
Information Technology,8,Non-binary,19,MCA,8.7,42,65,3.9,80,7.3,88.9,62.1,On Track
Civil,3,Non-binary,21,B.Tech,5.5,27,81,5.8,41,4.9,59.2,78.3,On Track
Information Technology,7,Female,19,B.Tech,9.2,47,80,3.3,73,4.1,85.2,74.1,On Track
Information Technology,5,Male,22,B.Tech,5.4,35,74,2.5,65,4.6,69.9,67.1,At Risk
Civil,1,Non-binary,22,B.Tech,6.7,20,76,2.4,83,7.9,83.1,74.4,On Track
Civil,1,Female,21,B.Sc,5.3,28,80,5.5,77,3.5,80.4,67.4,On Track
Business Analytics,2,Female,21,MBA,7.7,21,97,4.0,96,7.0,98.0,87.1,On Track
Information Technology,2,Female,17,MCA,9.2,31,48,2.2,62,3.6,67.8,45.0,On Track
Computer Science,5,Female,17,BCA,6.6,43,83,2.0,56,7.2,73.4,69.1,On Track
Information Technology,2,Non-binary,21,MBA,8.7,27,60,2.2,62,9.7,80.5,49.2,On Track
Business Analytics,8,Female,19,BCA,8.0,43,67,5.0,73,8.3,91.4,64.3,On Track
Business Analytics,7,Male,22,BCA,8.6,51,60,5.1,95,6.3,94.6,48.1,On Track
Civil,2,Male,17,B.Tech,4.9,25,85,2.5,79,9.4,79.7,76.0,On Track
Electronics,5,Non-binary,24,MCA,5.5,44,75,1.9,93,8.1,79.4,63.1,On Track
Civil,2,Non-binary,20,MCA,7.6,29,72,4.3,84,4.6,92.2,61.3,On Track
Civil,5,Female,19,MCA,5.3,39,52,1.7,46,3.7,54.9,47.1,At Risk
Computer Science,6,Female,20,BCA,7.7,47,48,5.1,82,8.5,92.3,47.8,On Track
Electronics,8,Male,17,MBA,5.9,46,86,3.7,76,6.1,84.8,79.2,On Track
Mechanical,4,Non-binary,24,MBA,4.9,38,63,3.4,44,8.1,58.0,59.1,On Track
Electronics,2,Non-binary,25,MBA,7.7,17,89,2.5,41,8.8,58.7,74.7,On Track
Electronics,4,Female,19,BCA,6.4,39,92,5.0,74,4.7,86.7,81.6,On Track
Information Technology,6,Non-binary,22,MBA,5.4,38,56,4.1,89,6.0,82.7,55.4,On Track
Computer Science,6,Male,17,BCA,5.7,39,75,2.1,69,8.3,70.6,64.1,At Risk
Computer Science,6,Male,18,B.Sc,6.7,33,59,6.4,47,7.7,72.3,57.7,On Track
Information Technology,5,Male,18,B.Tech,7.1,31,53,0.9,64,9.3,74.3,52.4,On Track
Information Technology,2,Female,21,B.Sc,6.8,19,78,4.5,56,8.7,81.1,69.7,On Track
Civil,6,Female,22,B.Sc,7.2,32,84,5.7,66,4.2,80.1,80.0,On Track
Electronics,6,Male,23,B.Tech,5.7,44,81,0.5,39,5.0,59.7,74.5,At Risk
Civil,3,Non-binary,22,MBA,6.8,32,61,4.1,74,5.9,84.2,57.8,On Track
Mechanical,6,Female,17,MBA,6.6,45,48,3.4,48,4.0,54.5,45.5,At Risk
Computer Science,5,Male,19,MCA,7.6,30,72,3.1,47,9.6,74.4,69.5,On Track
Civil,4,Male,19,MBA,8.5,28,64,4.9,60,5.8,76.3,60.9,On Track
Electronics,2,Female,17,BCA,9.0,19,90,2.3,76,5.9,81.0,82.4,On Track
Mechanical,2,Male,19,MBA,8.3,21,88,4.1,78,5.3,87.1,74.6,On Track
Computer Science,2,Female,17,B.Sc,9.6,31,96,3.1,78,9.3,86.5,88.0,On Track
Mechanical,6,Male,22,B.Sc,8.8,43,68,2.1,77,6.4,87.8,56.6,On Track
Mechanical,4,Female,20,B.Sc,4.9,32,54,1.5,94,7.1,75.5,52.6,At Risk
Business Analytics,2,Non-binary,19,MCA,8.0,20,58,4.1,71,6.2,76.1,52.6,On Track
Information Technology,1,Female,19,B.Sc,5.4,26,96,4.5,57,9.7,76.1,86.6,On Track
Mechanical,8,Non-binary,18,BCA,6.4,55,96,4.8,73,8.7,84.9,89.8,On Track
Civil,4,Male,25,MCA,7.5,31,48,2.2,63,9.4,73.1,45.0,On Track
Information Technology,5,Male,17,MCA,8.2,32,93,5.4,51,8.4,78.2,78.6,On Track
Information Technology,6,Non-binary,25,B.Sc,9.1,39,62,2.7,76,9.4,83.6,53.7,On Track
Computer Science,3,Non-binary,24,MBA,5.0,20,84,2.3,59,4.7,61.2,80.6,At Risk
Information Technology,8,Female,18,B.Tech,9.5,48,52,3.1,81,7.9,86.9,46.4,On Track
Business Analytics,7,Male,23,B.Sc,9.1,38,59,3.2,59,9.9,75.4,57.2,On Track
Electronics,2,Non-binary,20,B.Sc,8.8,29,92,2.4,38,9.2,67.7,88.0,On Track
Electronics,8,Non-binary,23,B.Sc,7.5,43,69,2.4,78,3.7,83.5,61.7,On Track
Business Analytics,1,Non-binary,22,B.Sc,8.5,15,91,5.3,91,4.1,98.0,87.8,On Track
Information Technology,6,Male,21,MBA,8.6,43,52,3.9,61,9.8,72.8,45.0,On Track
Business Analytics,3,Non-binary,20,MCA,8.6,32,67,2.1,55,9.5,66.4,63.2,On Track
Mechanical,3,Non-binary,23,B.Tech,5.9,33,87,1.9,96,3.9,94.2,74.5,On Track
Computer Science,3,Non-binary,18,MBA,8.4,32,75,1.8,39,4.4,65.7,67.4,On Track
Civil,5,Male,20,B.Sc,6.9,43,67,4.4,70,5.4,73.4,66.1,On Track
